"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"q_7",0.0079830722098263,0.00788707180126601,0.00297584049782839,-0.00116207498400342,-0.000610026521668194,-0.00781541489975383,-0.00607400560202789,-0.00443010647670357,-0.000607813917670452,0.00193513489868671,0.00290281057593488,0.0128795899688604,0.0116834440746685,0.0317440756456747,0.0577822136284403,0.0428649609906105
"q_8",-0.0349606420005158,-0.021907783845308,-0.0220967637106335,-0.0246561549572634,-0.0187128365161268,-0.0214133269766773,-0.0174801234281977,-0.0103366490294447,-0.0113070132214012,-0.0087468381942146,-0.0184134651031909,-0.010338954728128,-0.00589513453866457,0.00303116850755709,0.016802235748464,0.01323658647622
"q_9",0.0159145793278011,0.0215897796053249,0.0120378896598689,0.0101623832503586,0.0220088190499882,0.0165959289732672,0.0236601827738361,0.0328109192775832,0.0462012162207384,0.0622150202898751,0.0568890731266371,0.0609107795512645,0.046311431539735,0.0495324681006199,0.0473420645750351,0.0375856257980421
"q_10",0.0116967213898205,0.00664533835832107,0.00645296722887564,0.0120012571707204,0.0114100218844327,0.0112234143231989,0.00896138915194731,0.0125626163068471,0.0103915917831198,0.00830184535020924,0.00858158506621399,0.00506205112096839,0.00336369604299196,0.00387957129241569,0.00405629816143828,0.0153951977441386
"q_11",0.0214468490520844,0.0260055063522309,0.0308321165688589,0.0354005705891538,0.017683900489494,0.0318008769423996,0.0289769195186002,0.0223764488245193,0.0193670937594471,0.0153922081714948,0.00987024494351548,-0.00923588445623337,-0.0238483129994391,-0.0563889161794752,-0.0992171189710696,-0.0375295752428834
"q_1",-0.0106782258922418,0.0338155094564656,0.0315073922860623,0.0265766926984091,0.023753515755943,0.0223624478945663,0.0334150960145434,0.0137607133702162,0.0122879132622378,0.0181907186351654,0.00474000863844908,-0.000455117146586444,0.00490186958082489,-0.00401514377581086,0.105616870678119,0.0837559616366111
"q_2",0.00513339332129426,0.00180269067414726,-0.00287614160276045,-0.00636423848924348,-0.0128398845896242,-0.00891679959782323,-0.0109198221225267,-0.0168386397956609,-0.0221203238899178,-0.0298831674397805,-0.0241504058304408,-0.0296602906231323,-0.0344238783860783,-0.032359641083099,-0.0345675462260868,-0.0352814529266473
"q_3",0.0115256445138669,0.00928191437634503,0.00548085574425443,0.00941150103830389,0.00758908091699059,0.00506603515831789,0.00489426355444217,0.00931153903692259,0.00678722691277178,0.0102311408612705,0.0037873284202101,-0.00352247699186495,-0.0115529033729482,-0.00791017696648134,-0.0125925974144417,-0.00568645018643891
"q_4",-0.00229959352957575,-0.00175395079382029,0.00925601757982938,0.000809574207798238,-0.00344713364759254,0.00447606238844636,0.00266413046835146,0.00402324787241193,0.00895468555708847,0.010595194414408,0.00895406355182639,-0.00452977346253883,0.00603112095018733,0.00963347745589795,0.0146589436418489,0.0329903376345315
"q_5",0.00130169669898308,0.00682801365034526,0.00675481528950936,0.0122518374943612,0.0139284304763101,0.010151421895053,0.00162514628931999,0.00491187518862162,-0.00255708669220174,0.00165533027620646,-0.00073519398060858,0.0176618403466744,0.00836732082247506,0.0225840119949272,0.0312161069583635,0.0162172186096233
